iter	Passed	Remaining
849	26170	4618
850	26186	4584
851	26205	4552
852	26224	4519
853	26243	4486
854	26263	4454
855	26281	4421
856	26303	4389
857	26323	4356
858	26341	4323
859	26359	4291
860	26379	4258
861	26405	4227
862	26425	4195
863	26443	4162
864	26460	4129
865	26477	4097
866	26506	4066
867	26523	4033
868	26540	4000
869	26558	3968
870	26588	3937
871	26608	3905
872	26632	3874
873	26652	3842
874	26673	3810
875	26692	3778
876	26713	3746
877	26735	3714
878	26756	3683
879	26775	3651
880	26795	3619
881	26815	3587
882	26833	3555
883	26852	3523
884	26870	3491
885	26889	3459
886	26913	3428
887	26932	3396
888	26950	3365
889	26967	3333
890	26983	3301
891	27001	3269
892	27026	3238
893	27046	3206
894	27071	3175
895	27092	3144
896	27111	3113
897	27129	3081
898	27148	3050
899	27175	3019
900	27193	2987
901	27211	2956
902	27235	2925
903	27254	2894
904	27272	2862
905	27291	2831
906	27315	2800
907	27336	2769
908	27354	2738
909	27374	2707
910	27394	2676
911	27413	2645
912	27434	2614
913	27454	2583
914	27471	2551
915	27490	2521
916	27509	2489
917	27528	2458
918	27551	2428
919	27576	2397
920	27593	2366
921	27614	2336
922	27632	2305
923	27648	2274
924	27670	2243
925	27694	2213
926	27716	2182
927	27742	2152
928	27763	2121
929	27795	2092
930	27813	2061
931	27833	2030
932	27858	2000
933	27881	1970
934	27905	1939
935	27928	1909
936	27953	1879
937	27976	1849
938	28000	1818
939	28026	1788
940	28054	1759
941	28079	1728
942	28101	1698
943	28124	1668
944	28152	1638
945	28173	1608
946	28194	1577
947	28215	1547
948	28242	1517
949	28272	1488
950	28290	1457
951	28310	1427
952	28334	1397
953	28359	1367
954	28382	1337
955	28413	1307
956	28453	1278
957	28495	1249
958	28517	1219
959	28540	1189
960	28566	1159
961	28599	1129
962	28624	1099
963	28647	1069
964	28686	1040
965	28716	1010
966	28776	982
967	28813	952
968	28849	922
969	28886	893
970	28927	863
971	28977	834
972	29024	805
973	29077	776
974	29118	746
975	29145	716
976	29174	686
977	29212	657
978	29243	627
979	29274	597
980	29307	567
981	29350	537
982	29390	508
983	29424	478
984	29466	448
985	29493	418
986	29521	388
987	29557	359
988	29591	329
989	29615	299
990	29641	269
991	29667	239
992	29691	209
993	29711	179
994	29733	149
995	29752	119
996	29774	89
997	29802	59
998	29824	29
999	29854	0
